咯己 海捞流 啊阑 埔明 HF935E,14,1,"159,200",20,NULL,54NR XFJ,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/11/06/GQ2N24110651752_0_THNAIL_ORGINL_20241106141328152.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固客捞靛 内掂肺捞 埔明 HF525E,14,1,"183,200",20,NULL,54N SHI,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/23/GQ2N24102399033_0_THNAIL_ORGINL_20241025135512168.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固客捞靛 内掂肺捞 埔明 HF525E,14,1,"183,200",20,NULL,54N 3GF,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/18/GQ2N24101844393_0_THNAIL_ORGINL_20241018113804087.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固 客捞靛 单丛扼捞农 埔明 HF708E,14,1,"175,200",20,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/18/GQ2N24101844396_0_THNAIL_ORGINL_20241018113833208.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固客捞靛 内掂肺捞 埔明 HF525E,14,1,"183,200",20,NULL,54N BUQ,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/10/GQ2N24091079050_0_THNAIL_ORGINL_20240910190956771.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固客捞靛 内掂肺捞 埔明 HF525E,14,1,"183,200",20,NULL,54N XFJ,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438010_0_THNAIL_ORGINL_20240926100737581.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 葛流 滚孤促 埔明 FF308E,14,1,"151,200",20,NULL,54N 050,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438011_0_THNAIL_ORGINL_20240924221029136.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 抛农聪拿 胶傀飘埔明 XH786E,14,1,"127,200",20,NULL,54NF HBP,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438013_0_THNAIL_ORGINL_20240924221101392.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 海捞流 啊阑 埔明 HF935E,14,1,"159,200",20,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438009_0_THNAIL_ORGINL_20240924220931168.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固 客捞靛 单丛扼捞农 埔明 HF708E,14,1,"175,200",20,NULL,54N RNE,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/08/22/GQ2N24082231087_0_THNAIL_ORGINL_20240822160738039.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 技固客捞靛 内掂肺捞 埔明 HF525E,14,1,"183,200",20,NULL,54N BMY,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/10/GQ2N24091079049_0_THNAIL_ORGINL_20240910190929302.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 抛农聪拿 胶傀飘埔明 XH786E,14,1,"127,200",20,NULL,54NF 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/12/GQ2N24091216878_0_THNAIL_ORGINL_20240912182414550.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 何明钠 埔明 HF905E,14,1,"167,200",20,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/12/GQ2N24091216871_0_THNAIL_ORGINL_20240912182235913.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 扩磐 宏矾浆靛 龟爹浇发胶 HF504E,14,1,"183,200",20,NULL,54N XFJ,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/10/GQ2N24091079048_0_THNAIL_ORGINL_20240910190901662.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100
咯己 抛农聪拿 胶傀飘 埔明 XH776E,14,1,"127,200",20,NULL,54NF 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/12/GQ2N24091216873_0_THNAIL_ORGINL_20240912182307740.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0,100